"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0010.JPG"	"IMG_0010.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 08:00:00"	"T"	"0 0"	2	2	11	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-08_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0011.JPG"	"IMG_0011.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 10:06:26"	"M"	"1 2"	5	2	12	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-08_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0012.JPG"	"IMG_0012.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 10:06:26"	"M"	"2 2"	5	2	12	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-08_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0013.JPG"	"IMG_0013.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 20:00:00"	"T"	"0 0"	3	2	12	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-08_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0014.JPG"	"IMG_0014.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 08:00:00"	"T"	"0 0"	4	2	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-09_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0015.JPG"	"IMG_0015.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 20:00:00"	"T"	"0 0"	5	2	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-09_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0016.JPG"	"IMG_0016.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 08:00:00"	"T"	"0 0"	6	2	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-10_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0017.JPG"	"IMG_0017.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 20:00:00"	"T"	"0 0"	7	2	9	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-10_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0018.JPG"	"IMG_0018.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:11 08:00:00"	"T"	"0 0"	8	3	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-11_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0019.JPG"	"IMG_0019.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:11 20:00:00"	"T"	"0 0"	9	3	11	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-11_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0020.JPG"	"IMG_0020.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:12 08:00:00"	"T"	"0 0"	10	3	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-12_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0021.JPG"	"IMG_0021.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:12 20:00:00"	"T"	"0 0"	11	3	8	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-12_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0022.JPG"	"IMG_0022.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:13 08:00:00"	"T"	"0 0"	12	3	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-13_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0023.JPG"	"IMG_0023.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:13 20:00:00"	"T"	"0 0"	13	3	8	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-13_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0024.JPG"	"IMG_0024.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:14 08:00:00"	"T"	"0 0"	14	3	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-14_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0025.JPG"	"IMG_0025.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:14 08:20:01"	"M"	"1 2"	6	3	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-14_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0026.JPG"	"IMG_0026.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:14 08:20:01"	"M"	"2 2"	6	3	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-14_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0027.JPG"	"IMG_0027.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:14 20:00:00"	"T"	"0 0"	15	3	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-14_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0028.JPG"	"IMG_0028.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 08:00:00"	"T"	"0 0"	16	4	7	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-15_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0029.JPG"	"IMG_0029.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 20:00:00"	"T"	"0 0"	17	4	8	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-15_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0030.JPG"	"IMG_0030.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:16 08:00:00"	"T"	"0 0"	18	4	8	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-16_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0031.JPG"	"IMG_0031.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:16 20:00:00"	"T"	"0 0"	19	4	5	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-16_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0032.JPG"	"IMG_0032.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:17 08:00:00"	"T"	"0 0"	20	4	5	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-17_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0033.JPG"	"IMG_0033.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:17 20:00:00"	"T"	"0 0"	21	4	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-17_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0034.JPG"	"IMG_0034.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:18 08:00:00"	"T"	"0 0"	22	4	7	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-18_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0035.JPG"	"IMG_0035.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:18 20:00:00"	"T"	"0 0"	23	4	14	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-18_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0036.JPG"	"IMG_0036.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:19 08:00:00"	"T"	"0 0"	24	5	9	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-19_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0037.JPG"	"IMG_0037.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:19 20:00:00"	"T"	"0 0"	25	5	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-19_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0038.JPG"	"IMG_0038.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:20 08:00:00"	"T"	"0 0"	26	5	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-20_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0039.JPG"	"IMG_0039.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:20 20:00:00"	"T"	"0 0"	27	5	18	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-20_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0040.JPG"	"IMG_0040.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:21 08:00:00"	"T"	"0 0"	28	5	18	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-21_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0041.JPG"	"IMG_0041.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:21 20:00:00"	"T"	"0 0"	29	5	16	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-21_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0042.JPG"	"IMG_0042.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:22 08:00:00"	"T"	"0 0"	30	6	17	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-22_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0043.JPG"	"IMG_0043.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:22 20:00:00"	"T"	"0 0"	31	6	24	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-22_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0044.JPG"	"IMG_0044.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:23 08:00:00"	"T"	"0 0"	32	6	19	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-23_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0045.JPG"	"IMG_0045.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:23 20:00:00"	"T"	"0 0"	33	6	23	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-23_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0046.JPG"	"IMG_0046.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:24 08:00:00"	"T"	"0 0"	34	6	20	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-24_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0047.JPG"	"IMG_0047.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:24 20:00:00"	"T"	"0 0"	35	6	14	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-24_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0048.JPG"	"IMG_0048.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:25 08:00:00"	"T"	"0 0"	36	6	11	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-25_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0049.JPG"	"IMG_0049.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:25 20:00:00"	"T"	"0 0"	37	6	16	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-25_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0050.JPG"	"IMG_0050.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:26 08:00:00"	"T"	"0 0"	38	7	12	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-26_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0051.JPG"	"IMG_0051.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:26 20:00:00"	"T"	"0 0"	39	7	13	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-26_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0052.JPG"	"IMG_0052.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 02:03:37"	"M"	"1 2"	7	7	9	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0053.JPG"	"IMG_0053.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 02:03:38"	"M"	"2 2"	7	7	9	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0054.JPG"	"IMG_0054.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 08:00:00"	"T"	"0 0"	40	7	9	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0055.JPG"	"IMG_0055.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 12:58:55"	"M"	"1 2"	8	7	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0056.JPG"	"IMG_0056.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 12:58:56"	"M"	"2 2"	8	7	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0005.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0057.JPG"	"IMG_0057.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 13:06:14"	"M"	"1 2"	9	7	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0006.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0058.JPG"	"IMG_0058.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 13:06:14"	"M"	"2 2"	9	7	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0007.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0059.JPG"	"IMG_0059.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 15:25:00"	"M"	"1 2"	10	7	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0008.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0060.JPG"	"IMG_0060.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 15:25:00"	"M"	"2 2"	10	7	10	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0009.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0061.JPG"	"IMG_0061.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:27 20:00:00"	"T"	"0 0"	41	7	5	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-27_0010.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0062.JPG"	"IMG_0062.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:28 01:23:36"	"M"	"1 2"	11	7	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-07-28_0001.JPG"
